,,Barcode,Quantity,Item Name,Date,Company,Stock Take Code,Warehouse,Bin Location,, Count 2 , Count 3 , Count 4 , Count 5 ,
,,1810104280,0,"CAP SCREW, M30 X 120, GR12.9",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1810104390,0,"CAP SCREW, M30 X 90, GR12.9",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1810108360,12,"CAP SCREW, M5 X 110, GR12.9",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1810103640,28,"CAP SCREW, M10 X 40, GR12.9",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1713102460,67,"GASKET, RUBBER, DN250, 10'', PN16",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1711100800,76,"GASKET, RUBBER, 8''",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1310113530,10,"GASKET, 8"", ANSI CLASS150, 2.5-4MM THCK, PN16",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1711100790,8,"GASKET, RUBBER, 4''",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1713102450,4,"GASKET, RUBBER, DN80, 3'', PN16",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1810103500,498,"HEX BOLT, M16 X 180, GR8.8",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1316106230,3,"O-RING, ACCUMULATOR FLANGE, T190-02-33, YALONG",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-04-01,45953.36944, -   , -   , -   ,  ,
,,1541100480,1,"GARLOCK SEAL CARRIER, 3RD RED, 009-05-456",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-04,45953.37014, -   , -   , -   ,  ,
,,1519100260,0,"OUTPUT SPINDLE, 3RD RED, 009-05-100",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-04,45953.37014, -   , -   , -   ,  ,
,,1510105860,1,"BEARING, SPHERICAL ROLLER, 239/500 CA/W33",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-04,45953.37014, -   , -   , -   ,  ,
,,1510104590,4,"BEARING, SPHERICAL ROLLER, 22208, NSK",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-02,45953.37014, -   , -   , -   ,  ,
,,1311101120,1,"GAUGE, TEMP, LEVEL, SNA254-B-S-0-12, STAUFF",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-02,45953.37014, -   , -   , -   ,  ,
,,1510101600,8,"BEARING, BALL, 6308 NR",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-02,45953.37014, -   , -   , -   ,  ,
,,1545100820,4,"FILTER, RETURN, RFMBN/HC851F10D1,X/-G-L24",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-02,45953.37014, -   , -   , -   ,  ,
,,1521101590,1,"LOCK NUT, KM 32",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-02,45953.37014, -   , -   , -   ,  ,
,,1537103260,1,"LOCK WASHER, MB28",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-02,45953.37014, -   , -   , -   ,  ,
,,1521101940,0,"LOCK NUT, KM15",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-02,45953.37014, -   , -   , -   ,  ,
,,1521101930,0,"LOCK NUT, KM22",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-02,45953.37014, -   , -   , -   ,  ,
